artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
Carlos Delfino,http://www.wikidata.org/entity/Q278116,Carlos Delfino,Argentina,-34.0,-64.0,1982-08-29T00:00:00Z,Santa Fé,-31.633333,-60.7,,
Carlos Fossatti,http://www.wikidata.org/entity/Q20015113,Carlos Fossatti,Uruguai,-33.0,-56.0,1928-07-12T00:00:00Z,Paysandú,-32.321754,-58.089214,1980-01-01T00:00:00Z,Toulouse
Carlos Garcia Arias,,,,,,,,,,,
Carlos Jorge Guidacci,,,,,,,,,,,
"Carlos Matuck , Rubens Matuck",,,,,,,,,,,
Carlos Prado,http://www.wikidata.org/entity/Q50074229,Carlos Prado,Brasil,-14.0,-53.0,1908-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,1992-01-01T00:00:00Z,São Paulo
Carlos Raul Ginzburg,,,,,,,,,,,
Carlos Scliar,http://www.wikidata.org/entity/Q9697339,Carlos Scliar,Brasil,-14.0,-53.0,1920-01-01T00:00:00Z,Santa Maria,-29.68389,-53.806946,2001-01-01T00:00:00Z,Rio de Janeiro
Carlos Vergara,http://www.wikidata.org/entity/Q30935938,Carlos Vergara,Brasil,-14.0,-53.0,1941-11-29T00:00:00Z,Santa Maria,-29.68389,-53.806946,,
Carlos Zilio,,,,,,,,,,,
Carmela Gross,http://www.wikidata.org/entity/Q101242654,Carmela Gross,Brasil,-14.0,-53.0,1946-02-16T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Carmelina Piccolis,,,,,,,,,,,
Carmen Inés Blondet,http://www.wikidata.org/entity/Q47456252,Carmen Inés Blondet,Estados Unidos,39.828175,-98.5795,1945-01-01T00:00:00Z,San Juan,18.465279,-66.11667,,
Carmélio Cruz,,,,,,,,,,,
Carybé,http://www.wikidata.org/entity/Q609641,Carybé,Brasil,-14.0,-53.0,1911-02-07T00:00:00Z,Lanús,-34.7,-58.4,1997-10-02T00:00:00Z,Salvador
Cathleen Sidki,,,,,,,,,,,
Celina Yamauchi,,,,,,,,,,,
"Celso Sim , Anna Ferrari",,,,,,,,,,,
Charles Joseph Suares,,,,,,,,,,,
Charlote Gross,,,,,,,,,,,
Chen-kong Fang,,,,,,,,,,,
Christina Elias,,,,,,,,,,,
Christine Boumeester,http://www.wikidata.org/entity/Q527386,Christine Annie Boumeester,Reino dos Países Baixos,52.366665,4.883333,1904-08-12T00:00:00Z,Meester Cornelis,-6.233333,106.88333,1971-01-10T00:00:00Z,Villejuif
Christo,http://www.wikidata.org/entity/Q14633979,Christo,Bulgária,42.75,25.5,1935-06-13T00:00:00Z,Gabrovo,42.87424,25.31784,2020-05-31T00:00:00Z,Nova Iorque
Cisco Jiménez,,,,,,,,,,,
Claes Oldenburg,http://www.wikidata.org/entity/Q156731,Claes Oldenburg,Suécia,61.0,15.0,1929-01-28T00:00:00Z,Malmö,55.583332,13.0,2022-07-18T00:00:00Z,Manhattan
Clara Heteny,http://www.wikidata.org/entity/Q59220738,Clara Heteny,Itália,42.5,12.5,1919-01-01T00:00:00Z,Budapeste,47.498333,19.040833,,
Claude Dupuy,http://www.wikidata.org/entity/Q187429,Claude Dupuy,França,47.0,2.0,1545-01-01T00:00:00Z,Paris,48.856667,2.3522222,1594-12-01T00:00:00Z,Paris
Claudia Andujar,http://www.wikidata.org/entity/Q18244184,Claudia Andujar,Brasil,-14.0,-53.0,1931-06-12T00:00:00Z,Neuchâtel,46.990276,6.9305553,,
"Claudia Andujar , George Love",,,,,,,,,,,
Claudio Tozzi,http://www.wikidata.org/entity/Q23893510,Claudio Tozzi,Brasil,-14.0,-53.0,1944-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Clemente Padín,http://www.wikidata.org/entity/Q18812180,Clemente Padín,Uruguai,-33.0,-56.0,1939-10-08T00:00:00Z,Lascano,-33.673054,-54.20778,2025-10-03T00:00:00Z,
"Clemente Padín , Klaus Groh , Renate Groh",,,,,,,,,,,
"Cláudio Ferlauto , Flavio Pons",,,,,,,,,,,
"Cláudio Goulart , Flavio Pons",,,,,,,,,,,
Clóvis Graciano,http://www.wikidata.org/entity/Q5137305,Clóvis Graciano,Brasil,-14.0,-53.0,1907-01-29T00:00:00Z,Araras,-22.356945,-47.38389,1988-06-29T00:00:00Z,São Paulo
Coletivo de Arte Sociológica,,,,,,,,,,,
Constant Permeke,http://www.wikidata.org/entity/Q381911,Constant Permeke,Bélgica,50.64111,4.6680555,1886-07-31T00:00:00Z,Antuérpia,51.22111,4.399722,1952-01-04T00:00:00Z,Oostende
Constantino Ignácio Riemma,,,,,,,,,,,
