Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
Lúcia Ferreira,,,,,,,
Lucia Fleury,Brazil,,,São Paulo,,,female
Lúcia Suané,,,,,,,female
Lydia Okumura,Brazil,Fundação Armando Alvares Penteado,,Osvaldo Cruz,,,female
,,Pratt Graphic Art Center,,,,,
Lygia Arcuri Eluf,,,,,,,
Lygia Clark,Brazil,,,Belo Horizonte,,Rio de Janeiro,female
Lygia Pape,Brazil,Federal University of Rio de Janeiro,,Nova Friburgo,,Rio de Janeiro,female
,,Escola Nacional de Belas Artes,,,,,
Lygia Reinach,Brazil,,,Dois Córregos,,,female
José de Souza Oliveira Filho,Brazil,,,Macaparana,,,male
Maciej Antoni Babinski,,,,,,,
Macline,,,,,,,
Malu Fatoreli,,,,,,,
Manabu Mabe,Brazil,,,Kumamoto Prefecture,,São Paulo,male
Mane-Katz,France,Beaux-Arts de Paris,,Kremenchuk,Hof HaCarmel Cemetery,Tel-Aviv,male
,Israel,,,,,,
Manezinho Araújo,Brazil,,,Cabo de Santo Agostinho,,São Paulo,male
,,,,Pernambuco,,,
Manfredo de Souzanetto,Brazil,,,,,,male
Manuel Martins,Brazil,,,São Paulo,,São Paulo,male
Manoel Veiga,,,,,,,
Manuel Álvarez,Spain,Royal Academy of Fine Arts of San Fernando,,Salamanca,,Madrid,male
Manuel Calvo Abad,Spain,,,Oviedo,,Madrid,male
Manuel Cargaleiro,Portugal,,,Vila Velha de Ródão,,Castelo Branco,male
Manuel Casimiro,Portugal,,,Porto,,,male
Manuel Felguérez,Mexico,Académie de la Grande Chaumière,,Valparaíso,,Mexico City,male
,,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",,,,,
Marc Chagall,France,School Yehuda Pen in Vitebsk,Jewish people,Liozna,Cimetière de Saint-Paul-de-Vence,Saint-Paul-de-Vence,male
,Russian Empire,Académie de La Palette,,,,,
,Russian Socialist Federative Soviet Republic,,,,,,
,statelessness,,,,,,
Marcel Fiorini,France,Graduate School of Fine Arts of Algiers,,Guelma,,Bois-le-Roi,male
Marcela Tiboni,,,,,,,
Marcello Mascherini,Italy,,,Udine,,Padua,male
Marcello Nitsche,Brazil,Fundação Armando Alvares Penteado,,São Paulo,,,male
Marcelo Bonevardi,Argentina,,,Buenos Aires,,,male
Marcelo Cipis,,,,,,,male
Marcelo Grassmann,Brazil,,,São Simão,,São Paulo,male
Marcelo Lima,,,,,,,
Marcelo Moscheta,,,,,,,
Marcelo Silveira,Brazil,,,Gravatá,,,male
Marcelo Zocchio,,,,,,,
Marcia Schvartz,Argentina,,,Buenos Aires,,,female
Marcio Banfi,,,,,,,
Marco Buti,,,,,,,
Marco do Valle,,,,,,,
Marco Giannotti,Brazil,University of São Paulo,,,,,male
Marco Lodola,Italy,,,Dorno,,,male
Marcos Chaves,Brazil,Escola de Artes Visuais do Parque Lage,,Rio de Janeiro,,,male
Marcos Coelho Benjamin,,,,,,,
Marcus André,,,,,,,
Marepe,Brazil,,,Santo Antônio de Jesus,,,male
Maria Bonomi,Brazil,Escola de Comunicações e Artes da Universidade de São Paulo,,Province of Novara,,,female
Maria Carmen,,,,,,,
Maria Cecília Manuel Gismondi,,,,,,,
Maria Célia Andrade,,,,,,,
Maria Helena Andrés,Brazil,,,Belo Horizonte,,,female
Maria Irene Ribeiro,Portugal,,,Braga,,,female
Maria Leonor Decourt,,,,,,,
Maria Leontina da Costa,Brazil,,,São Paulo,,,female
Maria Lídia Magliani,Brazil,Federal University of Rio Grande do Sul,African Brazilians,Pelotas,,Rio de Janeiro,female
María Luisa Pacheco,Bolivia,,,La Paz,,New York City,female
,United States,,,,,,
Maria Martins,Brazil,Atelier 17,,Campanha,,Rio de Janeiro,female
María J. Polo,,University of Cordoba,,,,,female
,,University of Extremadura - Badajoz Campus,,,,,
,,University of Cordoba,,,,,
,,University of Cambridge,,,,,
Maria Tereza Louro,,,,,,,female
Maria Tomaselli,Brazil,,,Innsbruck,,,female
Mariana Manhaes,Brazil,,,Niterói,,,female
Marianne Peretti,Brazil,Académie de la Grande Chaumière,,Paris,,Recife,female
Marie Orensanz,France,,,Mar del Plata,,,female
Marilyn Diggs,,,,,,,
Marina Abramović,Federal People's Republic of Yugoslavia,"Academy of Fine Arts, Belgrade",Serbs,Belgrade,,,female
,Socialist Federal Republic of Yugoslavia,"Academy of Fine Arts, University of Zagreb",,,,,
,Federal Republic of Yugoslavia,,,,,,
,Serbia and Montenegro,,,,,,
,Serbia,,,,,,
,Yugoslavia,,,,,,
Marina Caram,,,,,,,
Marina Duarte Barthold,,,,,,,
Marina Núñez del Prado,Bolivia,,,La Paz,Cementerio General de La Paz,Lima,female
Marina Saleme,,,,,,,female
Marino Marini,Italy,,,Pistoia,,Viareggio,male
Mario Ballocco,Italy,Brera Academy,,Milan,,Milan,male
Mario Benedetti,Italy,,,Terni,,,male
Mário Cravo Neto,Brazil,,,Salvador,,Salvador,male
Mario Faustinelli,Italy,,,Venice,,Milan,male
Mario Guadagnino,,,,,,,
Mario Mafai,Italy,,,Rome,,Rome,male
Mario Sironi,Italy,,,Sassari,,Milan,male
Mario Toral,Chile,Beaux-Arts de Paris,,Santiago,,,male
Marisa Boullosa,Mexico,,,Mexico City,,,female
Marita Crespi,,,,,,,
Maria Freire,Uruguay,,,Montevideo,,Montevideo,female
Marília Rodrigues,Brazil,,,Belo Horizonte,,,female
Marjean Kettunen,United States,,,,,,female
Marly Kahtalian,,,,,,,
Marquês de Sá,,,,,,,
Marta Colvin,Chile,,,Chillán,Cementerio de Chillán,Santiago,female
Marta Minujín,Argentina,,,Buenos Aires,,,female
Martha Peluffo,Argentina,,,La Plata,,Buenos Aires,female
,,,,Buenos Aires,,,
Martin Puryear,United States,The Catholic University of America,African Americans,"Washington, D.C.",,,male
,,Yale School of Art,,,,,
,,Archbishop Carroll High School,,,,,
Marwan Rechmaoui,,,,,,,male
Mary Carmen Bosque,,,,,,,
Mary Vieira,Brazil,,,São Paulo,,Basel,female
Masao Kodama,,,,,,,
Masaru Shimizu,,,,,,,
Massimo Campigli,Italy,,,Berlin,,Saint-Tropez,male
Massuo Nakakubo,,,,,,,
Masushiro Kubota,,,,,,,
Matthew Smith,United Kingdom,Slade School of Fine Art,,Halifax,,Chelsea,male
,United Kingdom of Great Britain and Ireland,Giggleswick School,,,,,
,,Manchester Metropolitan University,,,,,
Matti Koskela,Finland,,,Kajaani,,,male
Matti Kulmala,Finland,,,Messukylä,,,male
Mattia Moreni,Italy,,,Pavia,,Brisighella,male
Maureen Bisilliat,Brazil,,,Englefield Green,,,female
,United States,,,United Kingdom,,,
Maurício Bentes,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Maurício Fridman,,,,,,,
Maurício Nogueira Lima,Brazil,,,Recife,,Campinas,male
Mauro Fornari,,,,,,,
Mauro Francini,Italy,,,,,,male
Mauro Kleiman,,,,,,,
Mauro Restiffe,Brazil,,,São José do Rio Pardo,,,male
Max Bill,Switzerland,Bauhaus,,Winterthur,,Berlin,male
,,Kunstgewerbeschule Zürich,,,,,
Max Ernst,Cuba,University of Bonn,,Brühl,Crématorium-columbarium du Père-Lachaise,7th arrondissement of Paris,male
,United States,,,,Grave of Ernst,,
,Germany,,,,,,
Max Kahn,United States,Bradley University,,Slonim,,Chicago,male
Marcia Pastore,Brazil,,,,,,female
Márcia Rothstein,,,,,,,
Marcio Périgo,,,,,,,male
Mario Bueno,,,,Guadalajara,,,male
Mário Carneiro,Brazil,,,Paris,,Rio de Janeiro,male
Mário Cravo,Brazil,,,Salvador,,Salvador,male
Mário Gruber,Brazil,,,Santos,,Cotia,male
Mário Noburu Ishikawa,Brazil,,,Presidente Prudente,,,male
Mario Zanini,Brazil,,,São Paulo,,São Paulo,male
Megumi Yuasa,Brazil,,,São Paulo,,,female
Mel Bochner,United States,Carnegie Mellon College of Fine Arts,,Pittsburgh,,New York City,male
,,Carnegie Mellon School of Art,,,,,
Mercedes Esteves,,,,,,,female
