Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
Fayga Ostrower,Brazil,Atelier 17,,Łódź,,Rio de Janeiro,female
Federico Tirone,,,,,,,
Felice Carena,Italy,Accademia Albertina,,Cumiana,Cemetery of San Michele,Venice,male
,Kingdom of Italy,,,,,,
Felice Casorati,Italy,University of Padua,,Novara,,Turin,male
,Kingdom of Italy,,,,,,
Felipe Cama,,,,,,,
Felix Bernardelli,Brazil,,,Pelotas,,Guadalajara,male
Félix Brissot de Warville,France,Beaux-Arts de Paris,,Véron,,Versailles,male
フェリックス・ラビッス,France,,,Marchiennes,Douai Cemetery,Neuilly-sur-Seine,male
"Félix Taunay, Baron of Taunay",Brazil,,,Montmorency,,Rio de Janeiro,male
,France,,,,,,
Félix Ziem,France,Beaux-Arts School of Dijon,,Beaune,Père Lachaise Cemetery,Paris,male
,,,,,Grave of Ziem,,
Ferdinand Krumholz,,,,Dvorce,,Bern,male
Ferdinand Piereck,Austrian Empire,,,Vienna,,Recife,male
,Cisleithania,,,,,,
,Brazil,,,,,,
Fernand Léger,France,Académie Julian,French,Argentan,Gif-sur-Yvette,Gif-sur-Yvette,male
,,École nationale supérieure des arts décoratifs,,,,,
Fernandes Machado,Brazil,National School of Fine Arts,,Rio de Janeiro,,Rio de Janeiro,male
Fernando Lemos,Brazil,,,Lisbon,,,male
,Portugal,,,,,,
Fernando Limberger,,,,,,,
Fernando Lindote,,,,,,,male
Fernando Lion,,,,,,,
Fernando Odriozola,,,,,,,
Fernando Otávio Fuentes Lindote,Brazil,,,,,,male
Fernando Szyszlo,,,,,,,
Filippo De Pisis,Italy,,,Ferrara,Certosa of Ferrara,Milan,male
,Kingdom of Italy,,,,,,
Flávia Metzler,,,,,,,female
Flávio,,,,,,,
Flavio de Carvalho,Brazil,Durham University,,Barra Mansa,,São Paulo,male
Flavio Shiro,Japan,,,Sapporo,,,male
,Brazil,,,,,,
Frances Manacher,,,,,,,
Francesc Domingo,Brazil,,,Barcelona,,São Paulo,male
,Spain,,,,,,
Francesco Cozza,,,,Stilo,,Rome,male
Francesco Cristofanetti,,,,Rome,,Rome,male
Francesco Menzio,Italy,Accademia Albertina,,Tempio Pausania,,Turin,male
,Kingdom of Italy,,,,,,
Francesco Zugno,Republic of Venice,,,Venice,,Venice,male
فرانسيس پيكابيا,France,École nationale supérieure des arts décoratifs,French,Paris,Montmartre Cemetery,Paris,male
,,Collège Stanislas de Paris,,,,,
,,Académie de La Palette,,,,,
Francisco Biojone,,,,,,,
Francisco Brennand,Brazil,,,Recife,,Recife,male
Francisco Cuoco,Brazil,,,São Paulo,Consolação Cemetery,São Paulo,male
Francisco de Sá,,,,,,,male
Francisco de Sousa Lobo,Brazil,,,,,,male
Francisco de Zurbarán,Spain,,Spaniards,Fuente de Cantos,,Madrid,male
Francesco de Silva,,,,,,,male
Francisco Goya,Spain,School of St. Thomas Aquinas of the Piarist Schools of Zaragoza,Aragonese people,Fuendetodos,Chartreuse Cemetery,Bordeaux,male
,,Real Academia de Nobles y Bellas Artes de San Luis,,,San Isidro Cemetery,,
,,Royal Academy of Fine Arts of San Fernando,,,Royal Chapel of St. Anthony of La Florida,,
Francisco Joaquim Gomes Ribeiro,Brazil,,,Portugal,,Rio de Janeiro,male
,Kingdom of Portugal,,,,,,
Francisco Pedro do Amaral,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Francisco Rebolo,Brazil,,,São Paulo,,São Paulo,male
Francisco Terêncio Vieira de Campos,,,,,,,male
Francisco Viriato de Freitas,,,,,,,
Francisco Xavier Carneiro,Brazil,,,,,,male
Franco Sá Boris,,,,,,,male
Franco Sá Luís,,,,,,,male
François Clouet,France,,,Tours,,Paris,male
François-René Moreaux,France,,,Rocroi,,Rio de Janeiro,male
